Tarih,TP DK USD A YTL,ex_change
3/10/2020,6.11,
3/11/2020,6.12,5.30E-05
3/12/2020,6.15,0.000351
3/13/2020,6.23,0.000762
3/14/2020,6.23,0
3/15/2020,6.23,0
3/16/2020,6.27,0.000447
3/17/2020,6.36,0.000917
3/18/2020,6.45,0.0009
3/19/2020,6.45,-1.60E-05
3/20/2020,6.52,0.000642
3/21/2020,6.52,0
3/22/2020,6.52,0
3/23/2020,6.48,-0.000315
3/24/2020,6.59,0.001025
3/25/2020,6.49,-0.000921
3/26/2020,6.4,-0.000919
3/27/2020,6.46,0.000536
3/28/2020,6.46,0
3/29/2020,6.46,0
3/30/2020,6.43,-0.000214
3/31/2020,6.52,0.000814
4/1/2020,6.57,0.000536
4/2/2020,6.64,0.000732
4/3/2020,6.67,0.000244
4/4/2020,6.67,0
4/5/2020,6.67,0
4/6/2020,6.69,0.000231
4/7/2020,6.75,0.000646
4/8/2020,6.74,-0.000174
4/9/2020,6.77,0.00033
4/10/2020,6.74,-0.000323
4/11/2020,6.74,0
4/12/2020,6.74,0
4/13/2020,6.69,-0.000505
4/14/2020,6.76,0.000741
4/15/2020,6.78,0.000134
4/16/2020,6.85,0.000753
4/17/2020,6.91,0.000568
4/18/2020,6.91,0
4/19/2020,6.91,0
4/20/2020,6.91,5.70E-05
4/21/2020,6.91,-4.80E-05
4/22/2020,6.96,0.000511
4/23/2020,6.96,0
4/24/2020,6.97,0.000107
4/25/2020,6.97,8.00E-06
4/26/2020,6.97,0
4/27/2020,6.96,-0.000119
4/28/2020,6.97,8.60E-05
4/29/2020,6.99,0.000206
4/30/2020,6.98,-9.40E-05
5/1/2020,6.98,0
5/2/2020,6.98,0
5/3/2020,6.98,0
5/4/2020,6.97,-6.80E-05
5/5/2020,7.02,0.000432
5/6/2020,7.06,0.000399
5/7/2020,7.13,0.000784
5/8/2020,7.22,0.000875
5/9/2020,7.22,0
5/10/2020,7.22,0
5/11/2020,7.1,-0.001249
5/12/2020,7.07,-0.000284
5/13/2020,7.01,-0.000555
5/14/2020,6.98,-0.000332
5/15/2020,6.95,-0.000246
5/16/2020,6.95,0
