Vaccine 5G_unscaled,Vaccine 5G_monthly,isPartial,scale,Vaccine 5G,plandemic_unscaled,plandemic_monthly,isPartial,scale,plandemic,anti mask_unscaled,anti mask_monthly,isPartial,scale,anti mask,Great Reset_unscaled,Great Reset_monthly,isPartial,scale,Great Reset,Bill Gates Vaccine_unscaled,Bill Gates Vaccine_monthly,isPartial,scale,Bill Gates Vaccine
0,11.0,False,0.11,0.0,0,0.0,False,0.0,0.0,53,82.0,False,0.82,43.46,0,1.0,False,0.01,0.0,15,2.0,False,0.02,0.3
15,11.0,,0.11,1.65,0,0.0,,0.0,0.0,75,82.0,,0.82,61.49999999999999,0,1.0,,0.01,0.0,0,2.0,,0.02,0.0
0,11.0,,0.11,0.0,0,0.0,,0.0,0.0,84,82.0,,0.82,68.88,0,1.0,,0.01,0.0,0,2.0,,0.02,0.0
0,11.0,,0.11,0.0,0,0.0,,0.0,0.0,87,82.0,,0.82,71.33999999999999,0,1.0,,0.01,0.0,7,2.0,,0.02,0.14
31,11.0,,0.11,3.41,0,0.0,,0.0,0.0,94,82.0,,0.82,77.08,68,1.0,,0.01,0.68,13,2.0,,0.02,0.26
0,11.0,,0.11,0.0,33,0.0,,0.0,0.0,68,82.0,,0.82,55.76,0,1.0,,0.01,0.0,7,2.0,,0.02,0.14
0,11.0,,0.11,0.0,0,0.0,,0.0,0.0,48,82.0,,0.82,39.36,0,1.0,,0.01,0.0,7,2.0,,0.02,0.14
0,11.0,False,0.11,0.0,0,0.0,False,0.0,0.0,50,70.0,False,0.7,35.0,76,0.0,False,0.0,0.0,0,6.0,False,0.06,0.0
0,11.0,,0.11,0.0,0,0.0,,0.0,0.0,47,70.0,,0.7,32.9,0,0.0,,0.0,0.0,13,6.0,,0.06,0.78
0,11.0,,0.11,0.0,0,0.0,,0.0,0.0,58,70.0,,0.7,40.599999999999994,100,0.0,,0.0,0.0,13,6.0,,0.06,0.78
15,11.0,,0.11,1.65,0,0.0,,0.0,0.0,35,70.0,,0.7,24.5,0,0.0,,0.0,0.0,13,6.0,,0.06,0.78
30,11.0,,0.11,3.3,31,0.0,,0.0,0.0,69,70.0,,0.7,48.3,33,0.0,,0.0,0.0,13,6.0,,0.06,0.78
0,11.0,,0.11,0.0,0,0.0,,0.0,0.0,78,70.0,,0.7,54.599999999999994,0,0.0,,0.0,0.0,20,6.0,,0.06,1.2
0,11.0,,0.11,0.0,0,0.0,,0.0,0.0,80,70.0,,0.7,56.0,76,0.0,,0.0,0.0,51,6.0,,0.06,3.06
35,28.0,False,0.28,9.8,0,0.0,False,0.0,0.0,86,95.0,False,0.95,81.7,38,1.0,False,0.01,0.38,22,12.0,False,0.12,2.6399999999999997
60,28.0,,0.28,16.8,0,0.0,,0.0,0.0,100,95.0,,0.95,95.0,65,1.0,,0.01,0.65,50,12.0,,0.12,6.0
76,28.0,,0.28,21.28,31,0.0,,0.0,0.0,71,95.0,,0.95,67.45,33,1.0,,0.01,0.33,45,12.0,,0.12,5.3999999999999995
15,28.0,,0.28,4.2,0,0.0,,0.0,0.0,62,95.0,,0.95,58.9,33,1.0,,0.01,0.33,71,12.0,,0.12,8.52
0,28.0,,0.28,0.0,31,0.0,,0.0,0.0,77,95.0,,0.95,73.14999999999999,0,1.0,,0.01,0.0,52,12.0,,0.12,6.24
45,28.0,,0.28,12.600000000000001,0,0.0,,0.0,0.0,77,95.0,,0.95,73.14999999999999,0,1.0,,0.01,0.0,75,12.0,,0.12,9.0
0,28.0,,0.28,0.0,70,0.0,,0.0,0.0,70,95.0,,0.95,66.5,0,1.0,,0.01,0.0,58,12.0,,0.12,6.96
17,21.0,False,0.21,3.57,34,0.0,False,0.0,0.0,58,59.0,False,0.59,34.22,36,1.0,False,0.01,0.36,42,17.0,False,0.17,7.140000000000001
14,21.0,,0.21,2.94,28,0.0,,0.0,0.0,49,59.0,,0.59,28.91,91,1.0,,0.01,0.91,100,17.0,,0.17,17.0
0,21.0,,0.21,0.0,0,0.0,,0.0,0.0,56,59.0,,0.59,33.04,64,1.0,,0.01,0.64,62,17.0,,0.17,10.540000000000001
15,21.0,,0.21,3.15,31,0.0,,0.0,0.0,51,59.0,,0.59,30.09,33,1.0,,0.01,0.33,45,17.0,,0.17,7.65
61,21.0,,0.21,12.809999999999999,0,0.0,,0.0,0.0,55,59.0,,0.59,32.449999999999996,33,1.0,,0.01,0.33,83,17.0,,0.17,14.110000000000001
29,21.0,,0.21,6.09,0,0.0,,0.0,0.0,42,59.0,,0.59,24.779999999999998,0,1.0,,0.01,0.0,92,17.0,,0.17,15.64
0,21.0,,0.21,0.0,33,0.0,,0.0,0.0,55,59.0,,0.59,32.449999999999996,71,1.0,,0.01,0.71,34,17.0,,0.17,5.78
33,73.0,False,0.73,24.09,100,0.0,False,0.0,0.0,52,74.0,False,0.74,38.48,0,0.0,False,0.0,0.0,97,31.0,False,0.31,30.07
57,73.0,,0.73,41.61,29,0.0,,0.0,0.0,44,74.0,,0.74,32.56,0,0.0,,0.0,0.0,73,31.0,,0.31,22.63
100,73.0,,0.73,73.0,0,0.0,,0.0,0.0,41,74.0,,0.74,30.34,31,0.0,,0.0,0.0,72,31.0,,0.31,22.32
27,73.0,,0.73,19.71,35,0.0,,0.0,0.0,64,74.0,,0.74,47.36,0,0.0,,0.0,0.0,15,31.0,,0.31,4.65
34,73.0,,0.73,24.82,18,0.0,,0.0,0.0,55,74.0,,0.74,40.7,0,0.0,,0.0,0.0,22,31.0,,0.31,6.82
56,73.0,,0.73,40.879999999999995,18,0.0,,0.0,0.0,73,74.0,,0.74,54.019999999999996,34,0.0,,0.0,0.0,21,31.0,,0.31,6.51
100,73.0,,0.73,73.0,20,0.0,,0.0,0.0,100,74.0,,0.74,74.0,0,0.0,,0.0,0.0,42,31.0,,0.31,13.02
62,100.0,False,1.0,62.0,40,0.0,False,0.0,0.0,71,59.0,False,0.59,41.89,39,1.0,False,0.01,0.39,64,100.0,False,1.0,64.0
13,100.0,,1.0,13.0,0,0.0,,0.0,0.0,33,59.0,,0.59,19.47,0,1.0,,0.01,0.0,77,100.0,,1.0,77.0
69,100.0,,1.0,69.0,36,0.0,,0.0,0.0,48,59.0,,0.59,28.32,0,1.0,,0.01,0.0,87,100.0,,1.0,87.0
21,100.0,,1.0,21.0,18,0.0,,0.0,0.0,73,59.0,,0.59,43.07,34,1.0,,0.01,0.34,58,100.0,,1.0,58.0
21,100.0,,1.0,21.0,18,0.0,,0.0,0.0,57,59.0,,0.59,33.629999999999995,35,1.0,,0.01,0.35000000000000003,87,100.0,,1.0,87.0
52,100.0,,1.0,52.0,38,0.0,,0.0,0.0,83,59.0,,0.59,48.97,73,1.0,,0.01,0.73,74,100.0,,1.0,74.0
31,100.0,,1.0,31.0,0,0.0,,0.0,0.0,44,59.0,,0.59,25.959999999999997,0,1.0,,0.01,0.0,79,100.0,,1.0,79.0
86,49.0,False,0.49,42.14,40,0.0,False,0.0,0.0,66,69.0,False,0.69,45.54,39,1.0,False,0.01,0.39,77,97.0,False,0.97,74.69
35,49.0,,0.49,17.15,55,0.0,,0.0,0.0,44,69.0,,0.69,30.36,35,1.0,,0.01,0.35000000000000003,89,97.0,,0.97,86.33
34,49.0,,0.49,16.66,87,0.0,,0.0,0.0,43,69.0,,0.69,29.669999999999998,0,1.0,,0.01,0.0,100,97.0,,0.97,97.0
20,49.0,,0.49,9.8,18,0.0,,0.0,0.0,50,69.0,,0.69,34.5,0,1.0,,0.01,0.0,69,97.0,,0.97,66.92999999999999
27,49.0,,0.49,13.23,52,0.0,,0.0,0.0,73,69.0,,0.69,50.37,100,1.0,,0.01,1.0,69,97.0,,0.97,66.92999999999999
14,49.0,,0.49,6.859999999999999,54,0.0,,0.0,0.0,68,69.0,,0.69,46.919999999999995,0,1.0,,0.01,0.0,64,97.0,,0.97,62.08
0,49.0,,0.49,0.0,40,0.0,,0.0,0.0,43,69.0,,0.69,29.669999999999998,0,1.0,,0.01,0.0,69,97.0,,0.97,66.92999999999999
23,21.0,False,0.21,4.83,20,0.0,False,0.0,0.0,49,58.0,False,0.58,28.419999999999998,38,1.0,False,0.01,0.38,63,61.0,False,0.61,38.43
27,21.0,,0.21,5.67,52,0.0,,0.0,0.0,33,58.0,,0.58,19.139999999999997,0,1.0,,0.01,0.0,64,61.0,,0.61,39.04
7,21.0,,0.21,1.47,17,0.0,,0.0,0.0,71,58.0,,0.58,41.18,33,1.0,,0.01,0.33,50,61.0,,0.61,30.5
7,21.0,,0.21,1.47,18,0.0,,0.0,0.0,55,58.0,,0.58,31.9,34,1.0,,0.01,0.34,45,61.0,,0.61,27.45
20,21.0,,0.21,4.2,35,0.0,,0.0,0.0,63,58.0,,0.58,36.54,0,1.0,,0.01,0.0,36,61.0,,0.61,21.96
14,21.0,,0.21,2.94,18,0.0,,0.0,0.0,36,58.0,,0.58,20.88,34,1.0,,0.01,0.34,47,61.0,,0.61,28.669999999999998
15,21.0,,0.21,3.15,40,0.0,,0.0,0.0,40,58.0,,0.58,23.2,38,1.0,,0.01,0.38,40,61.0,,0.61,24.4
0,14.0,False,0.14,0.0,100,0.0,False,0.0,0.0,57,53.0,False,0.53,30.21,0,1.0,False,0.01,0.0,34,48.0,False,0.48,16.32
0,14.0,,0.14,0.0,0,0.0,,0.0,0.0,38,53.0,,0.53,20.14,0,1.0,,0.01,0.0,46,48.0,,0.48,22.08
14,14.0,,0.14,1.9600000000000002,35,0.0,,0.0,0.0,45,53.0,,0.53,23.85,67,1.0,,0.01,0.67,45,48.0,,0.48,21.599999999999998
0,14.0,,0.14,0.0,17,0.0,,0.0,0.0,56,53.0,,0.53,29.68,0,1.0,,0.01,0.0,41,48.0,,0.48,19.68
0,14.0,,0.14,0.0,67,0.0,,0.0,0.0,57,53.0,,0.53,30.21,0,1.0,,0.01,0.0,49,48.0,,0.48,23.52
26,14.0,,0.14,3.6400000000000006,0,0.0,,0.0,0.0,73,53.0,,0.53,38.690000000000005,65,1.0,,0.01,0.65,68,48.0,,0.48,32.64
27,14.0,,0.14,3.7800000000000002,0,0.0,,0.0,0.0,67,53.0,,0.53,35.510000000000005,100,1.0,,0.01,1.0,55,48.0,,0.48,26.4
0,25.0,False,0.25,0.0,0,100.0,False,1.0,0.0,66,49.0,False,0.49,32.339999999999996,0,1.0,False,0.01,0.0,88,61.0,False,0.61,53.68
24,25.0,,0.25,6.0,0,100.0,,1.0,0.0,60,49.0,,0.49,29.4,59,1.0,,0.01,0.59,55,61.0,,0.61,33.55
22,25.0,,0.25,5.5,2,100.0,,1.0,2.0,81,49.0,,0.49,39.69,28,1.0,,0.01,0.28,79,61.0,,0.61,48.19
71,25.0,,0.25,17.75,40,100.0,,1.0,40.0,69,49.0,,0.49,33.81,59,1.0,,0.01,0.59,83,61.0,,0.61,50.629999999999995
0,25.0,,0.25,0.0,100,100.0,,1.0,100.0,58,49.0,,0.49,28.419999999999998,30,1.0,,0.01,0.3,100,61.0,,0.61,61.0
25,25.0,,0.25,6.25,58,100.0,,1.0,58.0,62,49.0,,0.49,30.38,31,1.0,,0.01,0.31,76,61.0,,0.61,46.36
28,25.0,,0.25,7.0,35,100.0,,1.0,35.0,62,49.0,,0.49,30.38,35,1.0,,0.01,0.35000000000000003,59,61.0,,0.61,35.99
